id,light_dens,kelvindist,roaddist,urbanprop,clydedist,X,Y,site
"27892","0",144.6032961000,336.5413632000,0.0667356440,"7425",255381.81100000,669696.39440000,E0
"27893","0",147.8596093000,360.8876388000,0.0482365140,"7425",255406.81100000,669696.39440000,E0
"27894","0",151.2362371000,385.2346948000,0.0434557680,"7400",255431.81100000,669696.39440000,E0
"27895","0",154.6128649000,409.5817509000,0.0373443980,"7375",255456.81100000,669696.39440000,E0
"27896","4",157.9894927000,399.5125973000,0.0419037760,"7350",255481.81100000,669696.39440000,E0
"27897","4",161.3661205000,380.3761011000,0.0570539410,"7325",255506.81100000,669696.39440000,E0
"27898","6",164.7427483000,361.9553026000,0.0755302630,"7300",255531.81100000,669696.39440000,E0
"27899","8",168.1193761000,344.3506623000,0.0923236510,"7275",255556.81100000,669696.39440000,E0
"27900","9",171.4960038000,327.6929067000,0.1091567510,"7250",255581.81100000,669696.39440000,E0
"27901","10",174.8726316000,312.0461508000,0.1208506220,"7225",255606.81100000,669696.39440000,E0
"27902","12",178.2492594000,296.6045026000,0.1293326430,"7200",255631.81100000,669696.39440000,E0
"27903","13",181.6258872000,281.1568204000,0.1379668050,"7175",255656.81100000,669696.39440000,E0
"27904","14",170.7676275000,265.7089468000,0.1438178990,"6700",255681.81100000,669696.39440000,E0
"27905","19",149.6240636000,250.5081652000,0.1556016590,"6700",255706.81100000,669696.39440000,D1
